Population Issue,x,Run,3189 VCF Files cohort,1GP Files,x,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,Genome_coverage,Avg rDNA Coverage,Estimated Copy #
,23136,ERR3240114,ERR3240114,ERR3240114,TRUE,WGS,PRJEB31736,SAMN00004622,NYGC,public,HG00096,2019-03-22,2019-03-22,ERX3267489,Illumina NovaSeq 6000,HG00096,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00096,male,ERP114329,EUR,European,10624546025,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1,CORIELL:HG00096,300,115207369500,MGP00003,,37.16718763,8012.214436,215.5722547
,23137,ERR3240115,ERR3240115,ERR3240115,TRUE,WGS,PRJEB31736,SAMN00004623,NYGC,public,HG00097,2019-03-22,2019-03-22,ERX3267490,Illumina NovaSeq 6000,HG00097,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00097,female,ERP114329,EUR,European,10732594034,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:20:00Z,1,CORIELL:HG00097,300,114209267700,MGP00003,,36.84518881,9389.594712,254.8390988
,23138,ERR3240116,ERR3240116,ERR3240116,TRUE,WGS,PRJEB31736,SAMN00004625,NYGC,public,HG00099,2019-03-22,2019-03-22,ERX3267491,Illumina NovaSeq 6000,HG00099,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00099,female,ERP114329,EUR,European,13198731520,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:40:00Z,1,CORIELL:HG00099,300,128644524300,MGP00003,,41.50216425,11697.82778,281.8606689
,23139,ERR3240117,ERR3240117,ERR3240117,TRUE,WGS,PRJEB31736,SAMN00004626,NYGC,public,HG00100,2019-03-22,2019-03-22,ERX3267492,Illumina NovaSeq 6000,HG00100,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00100,female,ERP114329,EUR,European,10498904137,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:03:00Z,1,CORIELL:HG00100,300,106628154900,MGP00003,,34.39943692,6421.125131,186.6636697
,23140,ERR3240118,ERR3240118,ERR3240118,TRUE,WGS,PRJEB31736,SAMN00004627,NYGC,public,HG00101,2019-03-22,2019-03-22,ERX3267493,Illumina NovaSeq 6000,HG00101,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00101,male,ERP114329,EUR,European,11743815249,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1,CORIELL:HG00101,300,115621345500,MGP00003,,37.30074092,8017.510816,214.9424011
,23141,ERR3240119,ERR3240119,ERR3240119,TRUE,WGS,PRJEB31736,SAMN00004628,NYGC,public,HG00102,2019-03-22,2019-03-22,ERX3267494,Illumina NovaSeq 6000,HG00102,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00102,female,ERP114329,EUR,European,10603202537,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:21:00Z,1,CORIELL:HG00102,300,111530667300,MGP00003,,35.98104232,7516.143758,208.8917739
,23142,ERR3240120,ERR3240120,ERR3240120,TRUE,WGS,PRJEB31736,SAMN00004629,NYGC,public,HG00103,2019-03-22,2019-03-22,ERX3267495,Illumina NovaSeq 6000,HG00103,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00103,male,ERP114329,EUR,European,10357636273,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:11:00Z,1,CORIELL:HG00103,300,111633739800,MGP00003,,36.01429466,6622.82725,183.8944039
,23143,ERR3240121,ERR3240121,ERR3240121,TRUE,WGS,PRJEB31736,SAMN00004631,NYGC,public,HG00105,2019-03-22,2019-03-22,ERX3267496,Illumina NovaSeq 6000,HG00105,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00105,male,ERP114329,EUR,European,10494145426,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:00:00Z,1,CORIELL:HG00105,300,96365180700,MGP00003,,31.0884865,6311.773171,203.0260679
,23144,ERR3240122,ERR3240122,ERR3240122,TRUE,WGS,PRJEB31736,SAMN00004632,NYGC,public,HG00106,2019-03-22,2019-03-22,ERX3267497,Illumina NovaSeq 6000,HG00106,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00106,female,ERP114329,EUR,European,12497322962,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:33:00Z,1,CORIELL:HG00106,300,123771119400,MGP00003,,39.92994925,6722.440364,168.3558454
,23145,ERR3240123,ERR3240123,ERR3240123,TRUE,WGS,PRJEB31736,SAMN00004633,NYGC,public,HG00107,2019-03-22,2019-03-22,ERX3267498,Illumina NovaSeq 6000,HG00107,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00107,male,ERP114329,EUR,European,10795166925,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:46:00Z,1,CORIELL:HG00107,300,114175452600,MGP00003,,36.83427968,5656.273321,153.5600362
