file_id,filepath,num_duplicate_cases,total_duplicate_rows
ERR3243102,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3243102.csv,1,2
ERR3241715,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3241715.csv,1,2
ERR3239876,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239876.csv,0,0
ERR3239862,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239862.csv,0,0
ERR3241701,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3241701.csv,0,0
ERR3242208,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242208.csv,0,0
ERR3243116,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3243116.csv,1,2
ERR3241729,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3241729.csv,0,0
ERR3242220,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242220.csv,0,0
ERR3242234,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242234.csv,0,0
ERR3239686,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239686.csv,0,0
ERR3239679,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239679.csv,1,2
ERR3239889,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239889.csv,1,2
ERR3989026,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989026.csv,1,2
ERR3239651,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239651.csv,0,0
ERR3241932,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3241932.csv,0,0
ERR3241926,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3241926.csv,0,0
ERR3989032,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989032.csv,1,2
ERR3239645,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239645.csv,0,0
ERR3242778,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242778.csv,0,0
ERR3242022,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242022.csv,0,0
ERR3239490,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239490.csv,2,4
ERR3240153,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240153.csv,0,0
ERR3988847,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988847.csv,0,0
ERR3242744,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242744.csv,0,0
ERR3242750,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242750.csv,0,0
ERR3988853,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988853.csv,1,2
ERR3240147,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240147.csv,0,0
ERR3239484,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239484.csv,0,0
ERR3242036,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242036.csv,0,0
ERR3989218,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989218.csv,0,0
ERR3239309,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239309.csv,0,0
ERR3989224,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989224.csv,0,0
ERR3239453,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239453.csv,1,2
ERR3242787,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242787.csv,0,0
ERR3988884,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988884.csv,1,2
ERR3240190,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240190.csv,0,0
ERR3239335,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239335.csv,0,0
ERR3240184,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240184.csv,0,0
ERR3988890,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988890.csv,0,0
ERR3239321,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239321.csv,1,2
ERR3242793,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242793.csv,0,0
ERR3989230,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989230.csv,0,0
ERR3239447,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239447.csv,0,0
ERR3242156,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242156.csv,1,2
ERR3989393,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989393.csv,0,0
ERR3239282,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239282.csv,0,0
ERR3988933,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988933.csv,0,0
ERR3240027,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240027.csv,0,0
ERR3239296,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239296.csv,0,0
ERR3240033,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240033.csv,0,0
ERR3988927,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3988927.csv,0,0
ERR3989387,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989387.csv,0,0
ERR3242142,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242142.csv,0,0
ERR3242817,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242817.csv,0,0
ERR3242803,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242803.csv,0,0
ERR3989378,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989378.csv,0,0
ERR3989350,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989350.csv,0,0
ERR3239527,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239527.csv,0,0
ERR3242195,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242195.csv,0,0
ERR3989436,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989436.csv,0,0
ERR3989422,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989422.csv,0,0
ERR3242181,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242181.csv,0,0
ERR3989344,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3989344.csv,0,0
ERR3239533,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3239533.csv,1,2
ERR3240219,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3240219.csv,0,0
ERR3243076,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3243076.csv,1,2
ERR3242368,../outputs/src_outputs/new_vcf/full_set/new_vcf_ERR3242368.csv,0,0
